|arrests|tags
101|CRIMINAL TRESPASS|Trespass
102|CRIMINAL TRESPASS|Trespass
103|UNLAWFUL SALE OF MARIJUANA|Marijuana
104|UNLAWFUL ACTS/ILLEGAL TAGS|Traffic Violation
105|POSSESSION OF PARAPHERNALIA|Misc Drugs
106|FAILURE TO SIGNAL TURN|Traffic Violation
107|OBSTRUCT LEGAL PROCESS|Obstruction
108|PEDESTRIAN USE SIDEWALK|Traffic Violation
109|LARCENY B SHOPLIFT|Larceny
110|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
111|DRIVE UNDER THE INFLUENCE|DUI
112|RESTRICT ON LICENSE: SUSPENDED/REVOKE|License
113|FAILURE TO DRIVE RIGHT SIDE OF ROAD 4 LANES|Traffic Violation
114|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
115|DUI INCAPABLE OF SAFELY OPERATING|DUI
116|LIGHTS REQUIRED CERTAIN HOURS|Traffic Violation
117|DISOBEY NO TURN SIGN|Traffic Violation
118|DUI|DUI
119|DUI INCAPABLE OF SAFELY OPERATING|DUI
120|DUI INCAPABLE OF SAFELY OPERATING|DUI
121|NO PROOF OF INSURANCE|Insurance
122|RIDE WHERE NOT INTENDED|Traffic Violation
123|SEAT BELT REQUIRED 18 OR OLDER|Traffic Violation
124|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
125|TRAFFIC OF CONTRABAND IN A CORRECTIONAL INSTITUTION|Traffic Violation
126|DOMESTIC BATTERY BODILY HARM|Battery
127|POSSESSION OF NARCOTICS|Narcotics
128|POSSESSION OF PARAPHERNALIA|Misc Drugs
129|DRIVE WHILE SUSPENDED|Traffic Violation
130|SIGNAL TURN 100 FEET|Traffic Violation
131|FAILURE TO FILE LICENSE APPLICATION FOR AFTER HOURS ESTABLISHMENT|License
132|BATTERY BODILY HARM DOMESTIC|Battery
133|DOMESTIC BATTERY BODILY HARM|Battery
134|DESTRUCTION OF PROPERTY DOMESTIC VIOLENCE|Property Damage
135|UNLAWFUL RESTRAINT|Interference
136|DUI INCAPABLE OF SAFELY OPERATING|DUI
137|DUI|DUI
138|IMPROPER RIGHT TURN|Traffic Violation
139|DUI SECOND|DUI
140|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
141|URINATE PUBLIC/PRIVATE PROPERTY|Public Nudity
142|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
143|DUI INCAPABLE OF SAFELY OPERATING|DUI
144|NO DRIVER'S LICENSE|License
145|MINIMUM SPEED SLOWING SURROUNDING TRAFFIC|Speed Limit
146|UNSAFE BACKING|Traffic Violation
147|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
148|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
149|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
150|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Interference
151|CRIMINAL TRESPASS|Trespass
152|UNLAWFUL POSSESSION OF METH|Meth
153|STOLEN PROPERTY BUYING|Theft
154|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
155|OBSTRUCT LEGAL PROCESS|Obstruction
156|CRIMINAL TRESPASS|Trespass
157|RESIST/OBSTRUCT ARREST|Obstruction
158|OTHER NARCOTIC VIOLATIONS|Narcotics
159|PEDESTRIAN FAILURE TO YIELD RIGHT OF WAY TO VEHICLE WHEN ENTERING ROADWAY|Traffic Violation
160|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
161|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
162|DOMESTIC BATTERY BODILY HARM|Battery
163|DOMESTIC BATTERY PHYSICAL CONTACT|Battery
164|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
165|POSSESSION OF NARCOTICS|Narcotics
166|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
167|POSSESSION OF NARCOTICS|Narcotics
168|POSSESSION OF MARIJUANA|Marijuana
169|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
170|POSSESSION OF FIREARM BY A FELON|Firearms
171|RUN STOP SIGN|Traffic Violation
172|NO SEAT BELT|Traffic Violation
173|FLEE OR ATTEMPT TO ELUDE POLICE OFF|Elusion
174|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
175|PETIT THEFT|Theft
176|DUI INCAPABLE OF SAFELY OPERATING|DUI
177|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
178|YIELD RIGHT OF WAY LEFT TURN|Traffic Violation
179|NO DRIVER'S LICENSE|License
180|RESTRICT ON LICENSE: SUSPENDED/REVOKE|License
181|UNLAWFUL POSSESSION OF METH|Meth
182|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
183|POSSESSION OF MARIJUANA|Marijuana
184|POSSESSION OF MARIJUANA|Marijuana
185|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
186|UNLAWFUL ACTS/ILLEGAL TAGS|Traffic Violation
187|AGGRAVATED WEAPONS VIOLATION|Weapons
188|POSSESSION OF SIMULATED CONTROLLED SUBSTANCE|Misc Drugs
189|POSSESSION OF PARAPHERNALIA|Misc Drugs
190|UNLAWFUL TO LITTER|Littering
191|DOMESTIC BATTERY BODILY HARM|Battery
192|DUI|DUI
193|DUI INCAPABLE OF SAFELY OPERATING|DUI
194|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
195|DRIVE WRONG WAY/ONE WAY|Traffic Violation
196|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
197|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
198|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
199|ILLEGAL TAG|Traffic Violation
200|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
201|DUI INCAPABLE OF SAFELY OPERATING|DUI
202|LIGHTS REQUIRED SUNSET TO SUNRISE|Traffic Violation
203|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
204|POSSESSION OF PARAPHERNALIA|Misc Drugs
205|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
206|UNLAWFUL POSSESSION OF METH|Meth
207|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
208|STOLEN PROPERTY BUYING|Theft
209|DRIVE WRONG WAY/ONE WAY|Traffic Violation
210|DUI INCAPABLE OF SAFELY OPERATING|DUI
211|DUI|DUI
212|DUI INCAPABLE OF SAFELY OPERATING|DUI
213|DUI|DUI
214|LIGHTS REQUIRED SUNSET TO SUNRISE|Traffic Violation
215|DUI|DUI
216|UNSAFE LANE CHANGE|Traffic Violation
217|FAILURE TO SIGNAL TURN|Traffic Violation
218|SIGNAL TURN 100 FEET|Traffic Violation
219|POSSESSION OF MARIJUANA|Marijuana
220|RUN STOP SIGN|Traffic Violation
221|VIOLATE DRIVERS LICENSE RESTRICTION|License
222|POSSESSION OF SIMULATED CONTROLLED SUBSTANCE|Misc Drugs
223|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol
224|CONSUMPTION/POSSESSION OF LIQUOR OR CEREAL MALT BEVERAGE BY MINOR|Alcohol
225|NO DRIVER'S LICENSE|License
226|DEFECTIVE HEADLIGHT|Traffic Violation
227|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol
228|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
229|RUNAWAY|Runaway
230|LARCENY B SHOPLIFT|Larceny
231|OTHER DESTRUCTION TO PROPERTY|Property Damage
232|DOMESTIC BATTERY PHYSICAL CONTACT|Battery
233|DOMESTIC BATTERY PHYSICAL CONTACT|Battery
234|CRIMINAL TRESPASS|Trespass
235|INTIMIDATION DOMESTIC VIOLENCE|Intimidation
236|REMAINING AT UNLAWFUL ASSEMBLY|Disturbance
237|RESIST/OBSTRUCT ARREST|Obstruction
238|REMAINING AT UNLAWFUL ASSEMBLY|Disturbance
239|RESIST/OBSTRUCT ARREST|Obstruction
240|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
241|RESIST/OBSTRUCT ARREST|Obstruction
242|REMAINING AT UNLAWFUL ASSEMBLY|Disturbance
243|BATTERY BODILY HARM DOMESTIC|Battery
244|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
245|SPEED OVER LIMIT|Speed Limit
246|AGGRAVATED ASSAULT|Assault
247|POSSESSION OF NARCOTICS|Narcotics
248|DUI DRUG|DUI
249|DRIVE UNDER THE INFLUENCE|DUI
250|CARELESS DRIVING DRIVER ACTION|Traffic Violation
251|NO DRIVER'S LICENSE|License
252|FAILURE TO DRIVE WITHIN MARKED LANE|Traffic Violation
253|RUNAWAY|Runaway
254|BATTERY BODILY HARM DOMESTIC|Battery
255|LARCENY B SHOPLIFT|Larceny
256|RUNAWAY|Runaway
257|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
258|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Interference
259|RESIST POLICE/ARREST|Obstruction
260|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage
261|INDECENT EXPOSURE|Public Nudity
262|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
263|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
264|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
265|VIOLATION OF PROTECTIVE ORDER DOMESTIC VIOLENCE|Court Order
266|POSSESSION OF FIREARM BY A FELON|Firearms
267|POSSESSION OF MARIJUANA|Marijuana
268|OTHER MARIJUANA VIOLATIONS|Marijuana
269|CRIMINAL DISCHARGE OF FIREARM|Firearms
270|POSSESSION OF A FIREARM UNDER THE INFLUENCE|Firearms
271|POSSESSION OF NARCOTICS|Narcotics
272|RESIST/OBSTRUCT ARREST|Obstruction
273|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
274|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
275|NO PROOF OF INSURANCE|Insurance
276|AGGRAVATED INDECENT LIBERTIES WITH CHILD|Child Exploitation
277|SODOMY, AGGRAVATED|Sodomy
278|DOMESTIC BATTERY PHYSICAL CONTACT|Battery
279|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
280|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
281|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage
282|CRIMINAL TRESPASS|Trespass
283|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
284|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage
285|PETIT THEFT|Theft
286|PETIT THEFT|Theft
287|AGGRAVATED BATTERY|Battery
288|AGGRAVATED ASSAULT|Assault
289|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
290|DOMESTIC BATTERY BODILY HARM|Battery
291|TRANSPORT OPEN CONTAINER LIQUOR|Alcohol
292|UNLAWFUL SALE OF MARIJUANA|Marijuana
293|NO SEAT BELT|Traffic Violation
294|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License
295|UNLAWFUL POSSESSION OF METH|Meth
296|POSSESSION OF PARAPHERNALIA|Misc Drugs
297|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
298|VIOLATION OF PROTECTIVE ORDER|Court Order
299|DRIVING WHILE REVOKED|License
300|AUTO THEFT NOT RECOVERED|Theft
301|RUNAWAY|Runaway
302|PETIT THEFT|Theft
303|OTHER DESTRUCTION TO PROPERTY|Property Damage
304|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
305|REAR CLEARANCE LAMPS REQUIRED|Traffic Violation
306|DIM LIGHTS TO ONCOMING VEHICLE|Traffic Violation
307|PETIT THEFT|Theft
308|CRIMINAL DEPRIVATION OF MOTOR VEHICLE|Vehicle Theft
309|DRIVE WHILE SUSPENDED|Traffic Violation
310|POSSESSION OF MARIJUANA|Marijuana
311|POSSESSION OF PARAPHERNALIA|Misc Drugs
312|DOMESTIC BATTERY BODILY HARM|Battery
313|CRIMINAL TRESPASS|Trespass
314|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
315|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
316|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
317|CRIMINAL TRESPASS|Trespass
318|RUNAWAY|Runaway
319|ARSON NON DWELLING|Arson
320|ROBBERY, COMMERCIAL HOUSE, AGGRAVATED|Robbery
321|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
322|ASSAULT, AGGRAVATED, FIREARMS|Firearms
323|POSSESSION OF FIREARM BY A FELON|Firearms
324|AGGRAVATED BATTERY FIREARMS|Firearms
325|UNLAWFUL POSSESSION OF METH|Meth
326|TRAFFIC OF CONTRABAND IN A CORRECTIONAL INSTITUTION|Traffic Violation
327|DUI|DUI
328|DUI INCAPABLE OF SAFELY OPERATING|DUI
329|HIT AND RUN FIXED OBJECT|Hit and Run
330|DOMESTIC BATTERY PHYSICAL CONTACT|Battery
331|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
332|UNLAWFUL POSSESSION OF METH|Meth
333|BATTERY BODILY HARM DOMESTIC|Battery
334|CRIMINAL DAMAGE TO PROPERTY|Property Damage
335|CRIMINAL TRESPASS|Trespass
336|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
337|BATTERY BODILY HARM DOMESTIC|Battery
338|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
339|BATTERY PHYSICAL CONTACT/RUDE DOMESTIC|Battery
340|REMAINING IN PARK AFTER HOURS|Trespass
341|CURFEW LAW VIOLATIONS|Curfew
342|POSSESSION OF MARIJUANA|Marijuana
343|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
344|DUI DRUG|DUI
345|INATTENTIVE DRIVING|Traffic Violation
346|NO DRIVER'S LICENSE|License
347|CRIMINAL TRESPASS|Trespass
348|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
349|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
350|ROBBERY, RESIDENTIAL, AGGRAVATED|Robbery
351|DUI INCAPABLE OF SAFELY OPERATING|DUI
352|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
353|EMERGING FROM ALLEY, DRIVEWAY, BUILDING|Traffic Violation
354|NO PROOF OF INSURANCE|Insurance
355|POSSESSION OF SUBTANCE|Misc Drugs
356|UNLAWFUL POSSESSION OF METH|Meth
357|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
358|TRAFFIC LAWS APPLY TO BIKE RIDERS|Traffic Violation
359|PETIT THEFT|Theft
360|RECKLESS DRIVING|Traffic Violation
361|DUI|DUI
362|DUI INCAPABLE OF SAFELY OPERATING|DUI
363|OTHER WEAPONS VIOLATIONS|Weapons
364|ROBBERY FROM PERSON|Robbery
365|SIMPLE ASSAULT DOMESTIC VIOLENCE|Assault
366|ARSON AGGRAVATED|Arson
367|RESIST/OBSTRUCT ARREST|Obstruction
368|STOLEN PROPERTY BUYING|Theft
369|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
370|SALE OF SEXUAL RELATIONS|Procurement
371|AGGRAVATED WEAPONS VIOLATION|Weapons
372|POSSESSION OF PARAPHERNALIA|Misc Drugs
373|LARCENY B SHOPLIFT|Larceny
374|FLEE OR ATTEMPT TO ELUDE POLICE OFF|Elusion
375|HIT AND RUN INJURY ACCIDENT|Hit and Run
376|POSSESSION OF MARIJUANA|Marijuana
377|CRIMINAL TRESPASS|Trespass
378|UNLAWFUL POSSESSION OF METH|Meth
379|POSSESSION OF MARIJUANA|Marijuana
380|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
381|AGGRAVATED WEAPONS VIOLATION|Weapons
382|VIOLATION OF PROTECTIVE ORDER|Court Order
383|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
384|CRIMINAL TRESPASS|Trespass
385|CRIMINAL DAMAGE TO PROPERTY|Property Damage
386|UNLAWFUL POSSESSION OF METH|Meth
387|POSSESSION OF NARCOTICS|Narcotics
388|POSSESSION OF PARAPHERNALIA|Misc Drugs
389|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
390|TAIL LAMPS|Traffic Violation
391|TAG REQUIRED|Traffic Violation
392|KNOWINGLY DRIVE UNINSURED VEHICLE|Insurance
393|BATTERY DOMESTIC VIOLENCE|Battery
394|DESTRUCTION OF PROPERTY DOMESTIC VIOLENCE|Property Damage
395|POSSESSION OF PARAPHERNALIA|Misc Drugs
396|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
397|STOLEN PROPERTY BUYING|Theft
398|UNLAWFUL POSSESSION OF METH|Meth
399|UNLAWFUL POSSESSION OF METH|Meth
400|UNLAWFUL POSSESSION OF METH|Meth
401|POSSESSION OF PARAPHERNALIA|Misc Drugs
402|UNLAWFUL POSSESSION OF METH|Meth
403|UNLAWFUL ACTS/ILLEGAL TAGS|Traffic Violation
404|NO PROOF OF INSURANCE|Insurance
405|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License
406|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
407|UNSAFE LANE CHANGE|Traffic Violation
408|ILLEGAL TAG|Traffic Violation
409|DUI INCAPABLE OF SAFELY OPERATING|DUI
410|DUI|DUI
411|POSSESSION OF PARAPHERNALIA|Misc Drugs
412|ROBBERY, HIGHWAY, AGGRAVATED|Robbery
413|SIGNAL TURN 100 FEET|Traffic Violation
414|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
415|ILLEGAL TAG|Traffic Violation
416|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
417|DEFECTIVE HEADLIGHT|Traffic Violation
418|OBSTRUCT LEGAL PROCESS|Obstruction
419|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
420|POSSESSION OF NARCOTICS|Narcotics
421|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
422|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
423|OBSTRUCT LEGAL PROCESS|Obstruction
424|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
425|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
426|UNLAWFUL POSSESSION OF METH|Meth
427|POSSESSION OF PARAPHERNALIA|Misc Drugs
428|DRIVING WHILE REVOKED|License
429|BATTERY|Battery
430|OTHER DESTRUCTION TO PROPERTY|Property Damage
431|AGGRAVATED ASSAULT|Assault
432|BATTERY|Battery
433|OTHER DESTRUCTION TO PROPERTY|Property Damage
434|POSSESSION OF PARAPHERNALIA|Misc Drugs
435|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
436|BATTERY|Battery
437|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage
438|VIOLATION OF PROTECTION FROM ABUSE|Court Order
439|BATTERY DOMESTIC VIOLENCE|Battery
440|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
441|VIOLATION OF PROTECTIVE ORDER|Court Order
442|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
443|MINORS POSSESSING, CONSUMING, PURCHASING, OBTAINING ALCOHOL/LIQUOR BEVERAGES|Alcohol
444|SPEED OVER LIMIT|Speed Limit
445|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
446|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
447|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
448|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol
449|ILLEGAL USE OF SIGNAL DEVICE|Traffic Violation
450|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
451|AUTO THEFT NOT RECOVERED|Theft
452|LARCENY B PURSE SNATCH|Larceny
453|LICENSE REQUIRED SALE OF LIQUOR BY DRINK PROHIBITED|License
454|CRIMINAL TRESPASS|Trespass
455|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
456|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
457|DOMESTIC BATTERY PHYSICAL CONTACT|Battery
458|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
459|DOMESTIC BATTERY BODILY HARM|Battery
460|UNLAWFUL POSSESSION OF METH|Meth
461|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
462|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
463|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
464|SPEED 30 MPH|Speed Limit
465|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License
466|FAILURE TO DRIVE WITHIN MARKED LANE|Traffic Violation
467|DRIVE UNDER THE INFLUENCE|DUI
468|DOMESTIC BATTERY BODILY HARM|Battery
469|LARCENY B ALL OTHER|Larceny
470|RUNAWAY|Runaway
471|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
472|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
473|BURGLARY AGGRAVATED RESIDENCE|Burglary
474|AUTO THEFT NOT RECOVERED|Theft
475|VIOLATION OF PROTECTIVE ORDER|Court Order
476|RESIST/OBSTRUCT ARREST|Obstruction
477|CHECKS FORGED OR FICTITIOUS|Forgery
478|UNLAWFUL POSSESSION OF METH|Meth
479|BATTERY DOMESTIC VIOLENCE|Battery
