|arrests|tags|stems
175|PEDESTRIAN FAILURE TO YIELD RIGHT OF WAY TO VEHICLE WHEN ENTERING ROADWAY|Vehicle / Traffic Violation|pedestrian failur yield right way vehicl enter roadway
176|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
177|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
178|BATTERY BODILY HARM|Battery|batteri bodili harm
179|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
180|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
181|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
182|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
183|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
184|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
185|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
186|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
187|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
188|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
189|RUN STOP SIGN|Vehicle / Traffic Violation|run stop sign
190|NO SEAT BELT|Vehicle / Traffic Violation|seat belt
191|FLEE OR ATTEMPT TO ELUDE POLICE OFFICER|Elusion|flee attempt elud polic offic
192|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
193|PETIT THEFT|Theft|petit theft
194|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
195|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
196|YIELD RIGHT OF WAY LEFT TURN|Vehicle / Traffic Violation|yield right way left turn
197|NO DRIVER'S LICENSE|License|driver licens
198|RESTRICT ON LICENSE: SUSPENDED/REVOKE|License|restrict licens suspend revok
199|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
200|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
201|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
202|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
203|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
204|UNLAWFUL ACTS/ILLEGAL TAGS|Vehicle / Traffic Violation|unlaw act illeg tag
205|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
206|POSSESSION OF SIMULATED CONTROLLED SUBSTANCE|Narcotics / Other Drugs|possess simul control substanc
207|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
208|UNLAWFUL TO LITTER|Littering|unlaw litter
209|BATTERY BODILY HARM|Battery|batteri bodili harm
210|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
211|DUI|DUI|dui
212|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
213|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
214|DRIVE WRONG WAY/ONE WAY|Vehicle / Traffic Violation|drive wrong way one way
215|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
216|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
217|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
218|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
219|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
220|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
221|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
222|LIGHTS REQUIRED SUNSET TO SUNRISE|Vehicle / Traffic Violation|light requir sunset sunris
223|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
224|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
225|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
226|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
227|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
228|STOLEN PROPERTY BUYING|Theft|stolen properti buy
229|DRIVE WRONG WAY/ONE WAY|Vehicle / Traffic Violation|drive wrong way one way
230|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
231|DUI|DUI|dui
232|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
233|DUI|DUI|dui
234|LIGHTS REQUIRED SUNSET TO SUNRISE|Vehicle / Traffic Violation|light requir sunset sunris
235|DUI|DUI|dui
236|UNSAFE LANE CHANGE|Vehicle / Traffic Violation|unsaf lane chang
237|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
238|SIGNAL TURN 100 FEET|Vehicle / Traffic Violation|signal turn feet
239|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
240|RUN STOP SIGN|Vehicle / Traffic Violation|run stop sign
241|VIOLATE DRIVERS LICENSE RESTRICTION|License|violat driver licens restrict
242|POSSESSION OF SIMULATED CONTROLLED SUBSTANCE|Narcotics / Other Drugs|possess simul control substanc
243|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
244|CONSUMPTION/POSSESSION OF LIQUOR OR CEREAL MALT BEVERAGE BY MINOR|Alcohol|consumpt possess liquor cereal malt beverag minor
245|NO DRIVER'S LICENSE|License|driver licens
246|DEFECTIVE HEADLIGHT|Vehicle / Traffic Violation|defect headlight
247|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
248|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
249|RUNAWAY|Runaway|runaway
250|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
251|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
252|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
253|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
254|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
255|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
256|CRIMINAL TRESPASS|Trespass|crimin trespass
257|INTIMIDATION|Intimidation|intimid
258|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
259|REMAINING AT UNLAWFUL ASSEMBLY|Disturbance|remain unlaw assembl
260|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
261|REMAINING AT UNLAWFUL ASSEMBLY|Disturbance|remain unlaw assembl
262|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
263|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
264|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
265|REMAINING AT UNLAWFUL ASSEMBLY|Disturbance|remain unlaw assembl
266|BATTERY BODILY HARM|Battery|batteri bodili harm
267|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
268|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
269|SPEED OVER LIMIT|Speed Limit|speed limit
270|AGGRAVATED ASSAULT|Assault|aggrav assault
271|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
272|DUI DRUG|DUI|dui drug
273|DRIVE UNDER THE INFLUENCE|DUI|drive influenc
274|CARELESS DRIVING DRIVER ACTION|Vehicle / Traffic Violation|careless drive driver action
275|NO DRIVER'S LICENSE|License|driver licens
276|FAILURE TO DRIVE WITHIN MARKED LANE|Vehicle / Traffic Violation|failur drive within mark lane
277|RUNAWAY|Runaway|runaway
278|BATTERY BODILY HARM|Battery|batteri bodili harm
279|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
280|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
281|RUNAWAY|Runaway|runaway
282|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
283|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Obstruction|interfer law enforc obstruct resist etc
284|RESIST POLICE/ARREST|Obstruction|resist polic arrest
285|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
286|INDECENT EXPOSURE|Public Indecency|indec exposur
287|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
288|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
289|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
290|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
291|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
292|VIOLATION OF PROTECTIVE ORDER|Court Order|violat protect order
293|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
294|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
295|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
296|OTHER MARIJUANA VIOLATIONS|Marijuana|marijuana violat
297|CRIMINAL DISCHARGE OF FIREARM|Firearms|crimin discharg firearm
298|POSSESSION OF A FIREARM UNDER THE INFLUENCE|Firearms|possess firearm influenc
299|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
300|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
301|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
302|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
303|NO PROOF OF INSURANCE|Insurance|proof insur
304|AGGRAVATED INDECENT LIBERTIES WITH CHILD|Child Exploitation|aggrav indec liberti child
305|SODOMY, AGGRAVATED|Sexual Assault|sodomi aggrav
306|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
307|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
308|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
309|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
310|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
311|CRIMINAL TRESPASS|Trespass|crimin trespass
312|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
313|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
314|PETIT THEFT|Theft|petit theft
315|PETIT THEFT|Theft|petit theft
316|AGGRAVATED BATTERY|Battery|aggrav batteri
317|AGGRAVATED ASSAULT|Assault|aggrav assault
318|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
319|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
320|BATTERY BODILY HARM|Battery|batteri bodili harm
321|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
322|TRANSPORT OPEN CONTAINER LIQUOR|Alcohol|transport open contain liquor
323|UNLAWFUL SALE OF MARIJUANA|Marijuana|unlaw sale marijuana
324|NO SEAT BELT|Vehicle / Traffic Violation|seat belt
325|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License|licens carri exhibit demand
326|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
327|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
328|AGGRAVATED BATTERY,|Battery|aggrav batteri
329|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
330|VIOLATION OF PROTECTIVE ORDER|Court Order|violat protect order
331|DRIVING WHILE REVOKED|License|drive revok
332|AUTO THEFT NOT RECOVERED|Theft|auto theft recov
333|RUNAWAY|Runaway|runaway
334|PETIT THEFT|Theft|petit theft
335|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
336|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
337|REAR CLEARANCE LAMPS REQUIRED|Vehicle / Traffic Violation|rear clearanc lamp requir
338|DIM LIGHTS TO ONCOMING VEHICLE|Vehicle / Traffic Violation|dim light oncom vehicl
339|PETIT THEFT|Theft|petit theft
340|CRIMINAL DEPRIVATION OF MOTOR VEHICLE|Theft|crimin depriv motor vehicl
341|DRIVE WHILE SUSPENDED|License|drive suspend
342|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
343|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
344|BATTERY BODILY HARM|Battery|batteri bodili harm
345|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
346|CRIMINAL TRESPASS|Trespass|crimin trespass
347|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
348|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
349|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
350|CRIMINAL TRESPASS|Trespass|crimin trespass
351|RUNAWAY|Runaway|runaway
352|ARSON NON DWELLING|Arson|arson non dwell
353|ROBBERY, COMMERCIAL HOUSE, AGGRAVATED|Robbery|robberi commerci hous aggrav
354|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
355|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
356|ASSAULT, AGGRAVATED, FIREARMS|Firearms|assault aggrav firearm
357|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
358|AGGRAVATED BATTERY FIREARMS|Battery|aggrav batteri firearm
359|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
360|TRAFFIC OF CONTRABAND IN A CORRECTIONAL INSTITUTION|Vehicle / Traffic Violation|traffic contraband correct institut
361|DUI|DUI|dui
362|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
363|HIT AND RUN FIXED OBJECT|Hit and Run|hit run fix object
364|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
365|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
366|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
367|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
368|BATTERY BODILY HARM|Battery|batteri bodili harm
369|CRIMINAL DAMAGE TO PROPERTY|Property Damage|crimin damag properti
370|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
371|CRIMINAL TRESPASS|Trespass|crimin trespass
372|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
373|BATTERY BODILY HARM|Battery|batteri bodili harm
374|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
375|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
376|BATTERY PHYSICAL CONTACT/RUDE|Battery|batteri physic contact rude
