|stems|tags|text
10|act violenc neglect perpetr anim consid anim cruelti anim cruelti law vari state violat may constitut feloni misdemeanor depend jurisdict mani anim cruelti law specif exclud accept anim husbandri practic involv farm anim anim use research law hunt trap wildlif state train report program social worker suspect anim abus cours work|Animal Cruelty|Acts of violence or neglect perpetrated against animals are considered animal cruelty. Animal cruelty laws vary by state, and violations may constitute a felony or a misdemeanor, depending on the jurisdiction. Many animal cruelty laws specifically exclude accepted animal husbandry practices involving farm animals, animals used in research, and lawful hunting and trapping of wildlife. Some states have training and reporting programs for social workers who suspect animal abuse during the course of their work.
11|gener anim cruelti divid two categori neglect intent cruelti exampl intent cruelti includ among other overt abus individu purpos inflict physic harm injuri anim dog fight cock fight act neglect includ companion anim neglect deni basic necess care food water shelter veterinari care|Animal Cruelty|Generally, animal cruelty can be divided into two categories: neglect and intentional cruelty. Examples of intentional cruelty include, among others, overt abuse, when an individual purposely inflicts physical harm or injury on an animal, dog fighting and cock fighting. Acts of neglect include companion animals being neglected or denied basic necessities of care, such as food, water, shelter, or veterinary care.
12|tortur anim depriv one necessari susten unnecessarili cruelli beat needlessli mutil kill impound confin anim without suppli confin suffici quantiti good wholesom food water|Animal Cruelty|Torture an animal, deprive one of necessary sustenance, unnecessarily or cruelly beat, needlessly mutilate or kill, or impound or confine an animal without supplying it during such confinement with a sufficient quantity of good wholesome food and water;
13|illeg treat anim cruel manner|Animal Cruelty|illegal to treat an animal in a cruel manner;
14|mani state law specif forbid leav dog cat unattend|Animal Cruelty|Many state laws specifically forbid leaving a dog or cat unattended
15|keep anim cruel live condit without adequ care illeg|Animal Cruelty|keeping animals in cruel living conditions without adequate care is illegal is all
16|fine collect violat section shall paid societi associ prevent cruelti anim counti township municip corpor violat occur|Animal Cruelty|All fines collected for violations of this section shall be paid to the society or association for the prevention of cruelty to animals, if there be such in the county, township, or municipal corporation where such violation occurred.
17|common law arson malici voluntari wil burn anoth hous dwell hous outhous appurten parcel dwell hous within curtilag statut person guilti arson circumst amount aggrav arson mean fire explos unlaw intent damag|Arson|At common law, arson is the malicious and voluntary or wilful burning of another's house, or dwelling house, or outhouse appurtenant to or a parcel of the dwelling house or within the curtilage. By statute, a person is guilty of arson, if, under circumstances not amounting to aggravated arson, by means of fire or explosives, he unlawfully and intentionally damages:
18|arson law deal crimin burn home busi properti crime arson predat american justic system although legisl continu modifi element offens expand type conduct qualifi arson law prohibit arson enact feder govern state penalti convict arsonist vari everi jurisdict gener becom sever base upon degre fire put human life risk|Arson|Arson law deals with the criminal burning of homes, businesses, and other property. The crime of arson predates the American justice system, although legislators continue to modify the elements of the offense, expanding on the types of conduct that will qualify as arson. Laws prohibiting arson have been enacted by the federal government and in all 50 states. Penalties for convicted arsonists vary in every jurisdiction, and generally become more severe based upon the degree to which the fire puts human life at risk.
19|arson defin will malici burn char properti mani type arson crime includ set fire one properti fraudul intent like someon burn hous collect insur money major arson crime involv damag build arson also commit person set fire forest land boat arson statut typic classifi arson feloni due potenti caus injuri death|Arson|Arson is defined as the willful and malicious burning or charring of property. There are many types of arson crimes, including setting fire to one's property with fraudulent intent--like when someone burns their house to collect insurance money. While the majority of arson crimes involve damage to buildings, arson can also be committed by a person who sets fire to forest land or a boat. Arson statutes typically classify arson as a felony due to the potential to cause injuries or death.
20|addit state statut also feder law basic feder arson statut prohibit will malici set fire within maritim territori jurisdict unit state appli follow build structur vessel machineri build materi suppli militari naval store munit war structur aid applianc navig ship feder arson law also cover attempt start fire enter conspiraci|Arson|In addition to state statutes there are also federal laws. The basic federal arson statute prohibits the willful and malicious setting of fires within the maritime and territorial jurisdiction of the United States. This applies to any of the following: Buildings; Structures or vessels; Machinery or building materials or supplies; Military or naval stores; Munitions of war; or Any structural aids or appliances for navigation or shipping. Federal arson laws also cover the attempt to start the fire or entering into a conspiracy to do so.
21|crime common law origin defin malici burn dwell anoth depend upon jurisdict intent set fire build els intent set fire build peopl live|Arson|A crime at common law, originally defined as the malicious burning of the dwelling of another. Depending upon the jurisdiction, the intentional setting of a fire to a building, or else the intentional setting of a fire to a building where people live.
22|state longer requir properti damag destroy dwell even build know burn person properti without consent unlaw intent gener enough constitut arson although arson gener feloni mani state law includ differ degre sever depend defend intent fire explos caus whether fire explos result physic injuri death penalti associ convict arson vari wide depend degre arson exampl new york penal law includ five possibl degre arson fifth degre class misdemeanor punish year jail first degre class feloni carri minimum sentenc year maximum sentenc year see ny penal law articl|Arson|Most states no longer require that the property damaged or destroyed be a dwelling or even a building, and the knowing burning of personal property without consent or with unlawful intent is generally enough to constitute arson.1 Although arson is generally a felony, many state laws include different degrees of severity depending on the defendant's intent, how the fire or explosion was caused, and whether the fire or explosion resulted in physical injury or death. The penalties associated with a conviction of arson vary widely depending on the degree of arson. For example, the New York Penal Law includes five possible degrees of arson, where the fifth degree is a class A misdemeanor punishable by no more than year in jail, and the first degree is a class A-1 felony carrying a minimum sentence of 15 years and a maximum sentence of 25 years. See NY Penal Law Article 70.
23|essenti element crime arson intent gener commit arson someon start fire must mean start knowledg properti damag like result hand accident burn properti often crime state though person ly start fire caus properti damag hurt someon convict arson disobey local fire ordin restrict bonfir campfir also lead arson charg fire spread caus damag|Arson|An essential element of the crime of arson is intent. In general, to commit arson, someone starting a fire must mean to start it with the knowledge that property damage is likely to result. On the other hand, accidentally burning property often isn’t a crime. In some states, though, a person who  ly starts a fire that causes property damage or hurts someone can be convicted of arson. Disobeying local fire ordinances, such as those restricting bonfires or campfires, can also lead to arson charges if the fire spreads and causes damage.
24|typic method use start fire irrelev arsonist use match lighter even explos directli set properti fire someon indirectli set fire also convict arson suppos instanc man start fire one build intend spread damag neighbor build man convict arson burn second build even though directli ignit|Arson|Typically, the method used to start the fire is irrelevant. An arsonist can use a match, a lighter, or even explosives to directly set property on fire. But someone who indirectly sets a fire can also be convicted of arson. Suppose, for instance, a man starts a fire in one building while intending for it to spread and damage a neighboring building. The man can be convicted of arson for burning the second building even though he didn’t directly ignite it.
25|someon also commit arson set fire land mani state deliber start forest fire burn farmer crop result arson convict|Arson|Someone can also commit arson by setting fire to land. In many states, deliberately starting a forest fire or burning a farmer’s crops can result in an arson conviction.
26|state defin offens somewhat differ arson gener intent malici act burn set fire anoth person properti|Arson|While states define the offense somewhat differently, arson is generally the intentional and malicious act of burning or setting fire to another person’s property.
27|intent caus seriou physic injuri anoth person caus seriou physic injuri person mean danger instrument|Assault|With intent to cause serious physical injury to another person, s/he causes serious physical injury to any person by means a dangerous instrument; or
28|intent disfigur anoth person serious perman destroy amput disabl perman member organ bodi caus injuri person|Assault|With intent to disfigure another person seriously and permanently, or to destroy, amputate or disable permanently a member or organ of his/her body, s/he causes such an injury to any person; or
29|circumst manifest extrem indiffer valu human life engag conduct creat grave risk death anoth person therebi caus seriou physic injuri person|Assault|Under circumstances manifesting extreme indifference to the value of human life, s/he engages in conduct which creates a grave risk of death to another person, and thereby causes serious physical injury to any person; or
30|second degre assault may involv intent seriou physic injuri anoth person physic injuri person mean danger instrument may involv ring polic offic emerg respond teacher perform duti injuri suffer less seriou may classifi assault lesser degre simpl assault|Assault|Second degree assault may involve intentional serious physical injury to another person, or physical injury to any person by means of a dangerous instrument. It may involve  ring with a police officer, emergency responder, or teacher, while performing their duties. When the injury suffered is less serious, it may be classified as assault of a lesser degree, such as simple assault.
31|attempt caus purpos knowingli caus bodili injuri anoth|Assault|Attempts to cause or purposely, knowingly causes bodily injury to another; or
32|neglig caus bodili injuri anoth|Assault|Negligently causes bodily injury to another
33|attempt physic menac put anoth fear immin seriou bodili injuri|Assault|Attempts by physical menace to put another in fear of imminent serious bodily injury.
34|simpl assault disorderli person offens unless commit fight scuffl enter mutual consent case petti disorderli person offens|Assault|Simple assault is a disorderly persons offense unless committed in a fight or scuffle entered into by mutual consent, in which case it is a petty disorderly persons offense
35|assault sometim defin intent act caus anoth person fear suffer physic harm definit recogn place anoth person fear immin bodili harm act deserv punish even victim assault physic harm definit also allow polic offic interven make arrest without wait assault actual strike victim|Assault|Assault is sometimes defined as any intentional act that causes another person to fear that she is about to suffer physical harm. This definition recognizes that placing another person in fear of imminent bodily harm is itself an act deserving of punishment, even if the victim of the assault is not physically harmed. This definition also allows police officers to intervene and make an arrest without waiting for the assaulter to actually strike the victim.
36|crimin law mani state classifi assault either simpl aggrav accord graviti harm occur like occur assault follow strike victim aggrav assault feloni may involv assault commit weapon intent commit seriou crime rape assault law name aggrav factor exampl assault assault may also defin aggrav occur cours legal system regard worthi special protect see aggrav assault case exampl discuss absenc factor crime tend simpl assault misdemeanor|Assault|The criminal laws of many states classify assaults as either simple or aggravated, according to the gravity of the harm that occurs—or is likely to occur if the assaulter follows through and strikes the victim. Aggravated assault is a felony that may involve an assault committed with a weapon or with the intent to commit a serious crime, such as rape. (Some assault laws name the aggravating factor—for example, assault An assault may also be defined as aggravated if it occurs in the course of a that the legal system regards as worthy of special protection (see Aggravated Assault Case Example 2 below for more discussion). In the absence of factors such as these, the crime tends to be simple assault, a misdemeanor.
37|aggrav batteri batteri involv aggrav circumst liabil sentenc aggrav batteri typic harsher regular batteri|Battery|Aggravated battery is battery which involves an aggravating circumstance. Liability and sentencing for aggravated battery is typically harsher than that for regular battery.
38|batteri exist tort law context crimin law context tort law assault consid intent tort|Battery|Battery exists in both the tort law context and the criminal law context. In tort law, assault is considered an intentional tort.
39|crimin law physic act result harm offens contact anoth person without person consent|Battery|In criminal law, this is a physical act that results in harmful or offensive contact with another person without that person's consent.
40|actual intent strike someon intent harm rude insol manner even injuri slight neglig careless unintent contact batteri matter great harm batteri crime also basi lawsuit civil wrong damag|Battery|the actual intentional striking of someone, with intent to harm, or in a rude and insolent manner even if the injury is slight. Negligent or careless unintentional contact is not battery no matter how great the harm. Battery is a crime and also the basis for a lawsuit as a civil wrong if there is damage.
41|although statut defin batteri vari jurisdict typic definit batteri intent offens harm touch anoth person without consent gener definit batteri offens requir follow intent touch touch must harm offens consent victim|Battery|Although the statutes defining battery will vary by jurisdiction, a typical definition for battery is the intentional offensive or harmful touching of another person without their consent. Under this general definition, a battery offense requires all of the following: intentional touching; the touching must be harmful or offensive; no consent from the victim.
42|may come surpris batteri gener requir intent harm victim although intent often exist batteri case instead person need intent contact caus contact individu addit someon act crimin neglig manner result contact may constitut assault result accident bump someon offens victim might consid would constitut batteri|Battery|It may come as some surprise that a battery generally does not require any intent to harm the victim (although such intent often exists in battery cases). Instead, a person need only have an intent to contact or cause contact with an individual. Additionally if someone acts in a criminally or negligent manner that results in such contact, it may constitute an assault. As a result, accidentally bumping into someone, offensive as the victim might consider it to be, would not constitute a battery.
43|crimin act requir batteri boil offens harm contact rang anywher obviou batteri physic attack punch kick involv even minim contact case|Battery|The criminal act required for battery boils down to an offensive or harmful contact. This can range anywhere from the obvious battery where a physical attack such as a punch or kick is involved, to even minimal contact in some cases.
44|like form batteri domest batteri categor intent caus unwant touch strike anoth person caus bodili harm person howev differ defend victim domest batteri occur victim famili member household member defend|Battery|Like other forms of battery, domestic battery is categorized by intentionally causing unwanted touching or striking of another person or causing bodily harm to the person. However, the difference is the between the defendant and the victim. Domestic battery occurs when the victim is a family member or household member of the defendant
45|batteri type crimin charg involv unauthor applic forc anoth person bodi result offens touch actual physic injuri instanc batteri result misdemeanor crimin charg|Battery|Battery is a type of criminal charge that involves the unauthorized application of force against another person’s body, which results in offensive touching or actual physical injury.  In most instances, battery will result in misdemeanor criminal charges.
46|mean batteri usual punish crimin fee actual time spent jail usual less one year seriou form batteri repeat instanc batteri may result seriou legal consequ often result feloni charg instead simpl misdemeanor charg|Battery|This means that battery is usually punishable by criminal fees and/or actual time spent in jail (usually less than one year).  More serious forms of battery, or repeat instances of battery may result in more serious legal consequences, and can often result in felony charges instead of simple misdemeanor charges.
47|crime break enter structur purpos commit crime great forc need push open door slip open window suffici entri unauthor|Burglary|the crime of breaking and entering into a structure for the purpose of committing a crime. No great force is needed (pushing open a door or slipping through an open window is sufficient) if the entry is unauthorized.
48|burglari typic defin unlaw entri almost structur home busi intent commit crime insid|Burglary|Burglary is typically defined as the unlawful entry into almost any structure (not just a home or business) with the intent to commit any crime inside
49|burglari law develop safeguard peopl home prevent violenc protect law crimin take properti instead burglari law meant preserv sanctiti dwell shield resid harm encount burglar hous|Burglary|Burglary laws developed to safeguard people's homes and to prevent violence, not to protect against Other laws criminalize the taking of property; instead, burglary laws are meant to preserve the sanctity of a dwelling and to shield residents from harmful encounters with burglars in their house.
50|first element burglari involv break enter structur break occur two way actual construct actual break involv physic forc pick lock kick door exampl could even slight use forc push open door that left ajar construct break hand involv method gain entri dont use physic forc fraud exampl matter burglar break must also enter structur order satisfi element entri minim burglar doesnt actual walk build order commit burglari stick hand window count entri suffici support charg burglari also import note entri occur without consent person occupi properti|Burglary|The first element of burglary involves breaking into and entering a structure. The breaking-in can occur in two ways: actual and constructive. Actual breaking involves physical force: picking a lock or kicking a door in, for example. It could even be a very slight use of force, such as pushing open a door that's been left ajar. Constructive breaking, on the other hand, involves methods of gaining entry that don't use physical force fraud, for example. No matter how burglars break in, they must also enter the structure in order to satisfy this element. The entry can be minimal; the burglar doesn't have to actually walk into a building in order to commit a burglary. Sticking a hand through a window counts as an entry sufficient to support a charge of burglary. It's also important to note that the entry has to occur without the consent of the person occupying the property.
51|mention common law crime burglari focus intrus one person resid modern definit individu commit burglari break almost type build structur long meet certain requir|Burglary|As mentioned above, the common law crime of burglary focused on intrusions into one's personal residence. Under the modern definition, individuals commit burglary if they break into almost any type of building or structure, so long as it meets certain requirements.
52|burglari also call break enter sometim housebreak unlaw entri build locat purpos commit offenc|Burglary|Burglary, also called breaking and entering and sometimes housebreaking, is an unlawful entry into a building or other location for the purposes of committing an offence
53|commiss burglari intent result confront person premis may constitut aggrav offens known home invas take attempt take properti forc fear person premis also constitut offens robberi|Burglary|Commission of a burglary with the intention or result of confronting persons on the premises may constitute an aggravated offense known as home invasion. Taking or attempting to take property by force or fear from persons on the premises also constitutes the offense of robbery.
54|statutori burglari defin peopl nighttim enter without break daytim break enter enter conceal dwell hous adjoin occupi outhous nighttim enter without break time break enter enter conceal offic shop manufactur home storehous warehous bank hous church hous ship vessel river craft|Burglary|Statutory Burglary is defined as: If any people in the nighttime enter without breaking, or in the daytime break and enter or enter and conceal themselves in a dwelling house or an adjoining, occupied outhouse, or, in the nighttime enter without breaking or at any time break and enter or enter and conceal themselves in any office, shop, manufactured home, storehouse, warehouse, banking house, church or other house, or any ship, vessel or river craft
55|prosecutor must also prove accus enter build illeg without permiss mean build must either privat one public one open otherwis publicli access illeg entri also appli person enter structur open public intent commit crime insid like person walk store intent steal merchandis reason owner permiss extend enter legitim purpos thief enter illeg purpos permiss appli entri becam one without permiss|Burglary|The prosecutor must also prove that the accused entered the building illegally or without permission. This means that the building must be either a private one or a public one that was not open or otherwise publicly accessible. Illegal entry also applies to a person who enters a structure that’s open to the public, but with the intent to commit a crime inside—like a person who walks into a store with the intent to steal merchandise. The reasoning is that the owner’s permission has been extended only to those who enter for legitimate purposes; when the thief entered for illegal purposes, that permission did not apply, and the entry became one without permission.
56|use burglari law appli someon broke anoth person hous dwell today law prohibit anyon enter structur home mani state law identifi type structur count build burglari crime includ store school build houseboat trailer home even tent campsit state also differenti burglari commerci space residenti burglari punish residenti burglari harshli residenti burglari build must home apart type build person live|Burglary|It used to be that burglary laws applied only when someone broke into another person's house or dwelling. Today, the law prohibits anyone from entering into any structure, and not just a home. Many state laws identify the types of structures that count as a building for burglary crimes. They include stores, school buildings, houseboats, trailer homes, and even tents or campsites. Some states also differentiate between burglary of a commercial space and residential burglary, punishing residential burglary more harshly. For residential burglary, the building must be a home, apartment, or some type of building in which a person lives.
57|child abus law provid rule hold individu harm children legal account action law direct parent guardian caretak anyon els respons child wellb child abus limit physic harm child abus statut also includ emot harm sexual abus exploit well act failur act result immin risk danger child alleg child abus result crimin charg initi child neglect case civil court statut prohibit child abus enact state feder level|Child Abuse|Child abuse law provides the rules for holding individuals who harm children legally accountable for their actions. These laws are directed at parents, guardians, caretakers, and anyone else responsible for a child's wellbeing. Child abuse is not limited to physical harm. Most child abuse statutes also include emotional harm, sexual abuse or exploitation, as well as acts or failures to act that result in an imminent risk of danger to the child. Allegations of child abuse can result in criminal charges and/or the initiation of a child neglect case in civil court. Statutes prohibiting child abuse have been enacted at the state and federal level.
58|sever case children die hot car lead prosecut parent adult alway happen usual depend specif circumst happen long person gone child car accid intent|Child Abuse|There are several cases where children that die in a hot car can lead to the prosecution of parents or other adults, but this is not always what happens. It usually depends on the specific circumstances of what happened, how long the person was gone with the child in the car and if it was an accident or intentional.
59|mani state consid child health safeti danger overal well endang crimin offens child endanger may occur crime may come convict often see parent friend other place behind bar mani year|Child Abuse|Many states consider that when a child's health, safety against dangers or overall well-being has been endangered, a criminal offense of child endangerment may have occurred. These crimes may come to convictions that often see parents, friends or others placed behind bars for many years.
60|charg child endanger violat person may face misdemeanor feloni depend upon state factor crime charg issu youth need directli harm action accus young person person must present environ may injur physic emot mental leav child unsaf neighborhood could consid violat child endanger convict charg often result minimum one year maximum six year howev state lesser greater degre penalti numer factor consid mani common factor crime fine fee prison term attach violat becom feloni penalti usual elev crime classif|Child Abuse|To be charged with child endangerment violations, the person may be faced with a misdemeanor or a felony depending upon the state and the factors of the crime. To have charges issued, the youth does not need to be directly harmed by the actions of the accused. The young person or persons only must be present in an environment where they may be injured physically, emotionally or mentally. Leaving a child in an unsafe neighborhood could be considered a violation that is child endangerment. Convictions of these charges often result in a minimum of one year through a maximum of six years. However, some states have lesser and greater degrees of penalties with other numerous factors to consider. Many common factors of these crimes have the same fines, fees and prison terms attached, but when the violation becomes a felony, these penalties are usually elevated with the crime classification.
61|parent leav children hot car either punish keep youth annoy take care shop entertain heat seriou factor youth could suffer dehydr heat stroke physic injuri durat car noth drink noth remov hot sun bake child skin way take cover subsequ injuri lead intern damag young person normal subject type harm long period sun disrupt bodi|Child Abuse|Some parents will leave children in a hot car to either punish them or to keep the youth from annoying them while taking care of shopping or entertainment. When the heat is a serious factor, the youth could suffer from dehydration, heat stroke or other physical injuries in the duration while in the car. If there is nothing to drink, nothing to remove the hot sun from baking the child’ skin or any way to take cover, the subsequent injuries can lead to internal damage. A young person is not normally subjected to this type of harm, and a long period in the sun can disrupt the body.
62|variou act consid crime actual child endanger leav young one car long period time temperatur hot child insid vehicl would consid violat due issu heat exhaust overh possibl injuri due burn similar issu leav person situat deem possibl life threaten allow child alon area could kidnap abduct usual consid danger possibl hazard action could also place young one danger move vehicl danger drive intox provid minor alcohol let drive consid possibl child endanger crime mani jurisdict pose possibl danger potenti risk injuri whether physic emot mental even possibl harm may interpret offens child endanger|Child Abuse|There are various acts that are considered for these crimes, but not all of them are actually child endangerment. Leaving a young one in a car for long periods of time, or when the temperature is very hot and the child is inside the vehicle would be considered this violation. This is due to the issues of heat exhaustion, overheating, possible injuries due to burns and similar issues. Leaving a person in such a situation has been deemed possibly life-threatening. Allowing a child to be alone in an area where he or she could be kidnapped or abducted is usually considered dangerous and possibly hazardous. These actions could also place the young one in danger from moving vehicles or other dangers. driving while intoxicated, providing a minor with alcohol and letting them drive are all considered possible child endangerment crimes in many jurisdictions. Each poses a possible danger to the potential risk of injury whether physical, emotional or mental. Even the possibility of harm may be interpreted to be an offense of child endangerment.
63|inabl unwilling parent guardian custodian child provid child supervis food cloth shelter medic care inabl unwilling caus unreason risk harm child health welfar except inabl parent guardian custodian provid servic meet need child disabl chronic ill sole result unavail reason servic|Child Abuse|The inability or unwillingness of a parent, guardian or custodian of a child to provide that child with supervision, food, clothing, shelter or medical care if that inability or unwillingness causes unreasonable risk of harm to the child's health or welfare, except if the inability of a parent, guardian or custodian to provide services to meet the needs of a child with a disability or chronic illness is solely the result of the unavailability of reasonable services.
64|child neglect form child abus occur person respons child fail care minor emot physic need neglect involv meet children basic need physic medic educ emot emot neglect part emot abus|Child Abuse|Child neglect is a form of child abuse. It occurs when a person who is responsible for the child fails to care for the minor’s emotional or physical needs. Neglect involves not meeting children's basic needs: physical, medical, educational, and emotional. Emotional neglect is a part of emotional abuse.
65|law defin child abus inflict mental physic emot injuri harm child includ neglig treatment maltreat exploit extent child health emot well endang child abus includ sexual abus|Child Abuse|law defines child abuse as inflicting mental, physical, or emotional injury that harms the child including negligent treatment, maltreatment, or exploitation to the extent that the child's health or emotional well-being is endangered. Child abuse includes sexual abuse.
66|abus child kansa knowingli follow child year old tortur cruelli beat child shake child result great bodili harm child inflict cruel inhuman corpor punish upon child|Child Abuse|Abuse of a Child in Kansas is knowingly doing any of the following to a child under 18 years old: Torturing or cruelly beating the child Shaking any child that results in great bodily harm to the child Inflicting cruel and inhuman corporal punishment upon any child
67|imag child pornographi protect first amend right illeg contraband feder law section titl unit state code defin child pornographi visual depict sexual explicit conduct involv minor someon year age visual depict includ photograph video digit comput gener imag indistinguish actual minor imag creat adapt modifi appear depict identifi actual minor undevelop film undevelop videotap electron store data convert visual imag child pornographi also deem illeg visual depict feder law|Child Exploitation|Images of child pornography are not protected under First Amendment rights, and are illegal contraband under federal law. Section 2256 of Title 18, United States Code, defines child pornography as any visual depiction of sexually explicit conduct involving a minor (someone under 18 years of age).  Visual depictions include photographs, videos, digital or computer generated images indistinguishable from an actual minor, and images created, adapted, or modified, but appear to depict an identifiable, actual minor.  Undeveloped film, undeveloped videotape, and electronically stored data that can be converted into a visual image of child pornography are also deemed illegal visual depictions under federal law.
68|notabl legal definit sexual explicit conduct requir imag depict child engag sexual activ pictur nake child may constitut illeg child pornographi suffici sexual suggest addit age consent sexual activ given state irrelev depict minor year age engag sexual explicit conduct illeg feder law prohibit product distribut recept possess imag child pornographi use affect mean facil interst foreign commerc see u c u c u c specif section make illeg persuad induc entic coerc minor engag sexual explicit conduct purpos produc visual depict conduct individu attempt conspir commit child pornographi offens also subject prosecut feder law|Child Exploitation|Notably, the legal definition of sexually explicit conduct does not require that an image depict a child engaging in sexual activity.  A picture of a naked child may constitute illegal child pornography if it is sufficiently sexually suggestive.  Additionally, the age of consent for sexual activity in a given state is irrelevant; any depiction of a minor under 18 years of age engaging in sexually explicit conduct is illegal. Federal law prohibits the production, distribution, reception, and possession of an image of child pornography using or affecting any means or facility of interstate or foreign commerce (See 18 U.S.C.  2251; 18 U.S.C.  2252; 18 U.S.C.  2252A).  Specifically, Section 2251 makes it illegal to persuade, induce, entice, or coerce a minor to engage in sexually explicit conduct for purposes of producing visual depictions of that conduct.  Any individual who attempts or conspires to commit a child pornography offense is also subject to prosecution under federal law.
